,budget,country,genre,gross,rating,score,votes,ROI,star_names,studio_names
71,250000000.0,USA,Action,408084349.0,PG,7.9,444625,1,Not-Famous,Low-Studio
72,195000000.0,USA,Action,352390543.0,PG,6.3,347062,1,Not-Famous,Low-Studio
73,60000000.0,USA,Others,217326974.0,PG,5.2,62326,1,Not-Famous,Low-Studio
74,11000000.0,USA,Action,168273550.0,PG,5.9,104657,1,Not-Famous,Low-Studio
75,11000000.0,USA,Comedy,167780960.0,PG,5.9,39684,1,Not-Famous,Low-Studio
76,73000000.0,USA,Action,229086679.0,PG,6.5,306509,1,Not-Famous,Low-Studio
77,72000000.0,USA,Drama,227966634.0,PG,6.7,293666,1,Not-Famous,Low-Studio
78,90000000.0,USA,Others,245852179.0,PG,7.9,422239,1,Not-Famous,Low-Studio
79,29000000.0,USA,Comedy,184296230.0,PG,6.4,112970,1,Not-Famous,Low-Studio
80,23000000.0,USA,Comedy,176484651.0,R,7.1,260860,1,Not-Famous,Low-Studio
81,63000000.0,USA,Action,213307889.0,PG,6.2,172880,1,Not-Famous,Low-Studio
82,48000000.0,USA,Action,197171806.0,PG,8.3,568724,1,Not-Famous,Low-Studio
83,25000000.0,USA,Drama,172825435.0,R,8.0,409764,1,Not-Famous,Low-Studio
84,70000000.0,USA,Drama,216540909.0,R,8.6,982445,1,Not-Famous,Low-Studio
85,65000000.0,USA,Action,210614939.0,R,7.7,650393,1,Not-Famous,Low-Studio
86,25000000.0,USA,Drama,169708112.0,PG,8.1,352583,1,Not-Famous,Low-Studio
87,75000000.0,USA,Others,219614612.0,PG,4.5,34888,1,Not-Famous,Low-Studio
88,25000000.0,USA,Others,169380936.0,PG,7.8,122401,1,Not-Famous,Low-Studio
89,70000000.0,USA,Others,214030500.0,PG,6.4,83662,1,Not-Famous,Low-Studio
90,90000000.0,USA,Others,233632142.0,PG,7.8,431103,1,Not-Famous,Low-Studio
91,14000000.0,USA,Drama,156645693.0,R,6.9,60676,1,Not-Famous,Low-Studio
92,150000000.0,non-USA,Others,292004738.0,PG,7.5,398348,1,Not-Famous,Low-Studio
93,50000000.0,USA,Action,191719337.0,R,7.1,290117,1,Not-Famous,Low-Studio
94,20000000.0,USA,Comedy,161491646.0,PG,6.1,128089,1,Not-Famous,Low-Studio
95,33000000.0,USA,Comedy,173398518.0,PG,6.9,162800,1,Not-Famous,Low-Studio
96,150000000.0,non-USA,Others,290013036.0,PG,7.7,430648,1,Not-Famous,Low-Studio
97,44000000.0,USA,Action,183875760.0,PG,7.8,227705,1,Not-Famous,Low-Studio
98,19000000.0,USA,Comedy,157019771.0,R,6.2,200078,1,Not-Famous,Low-Studio
99,123000000.0,USA,Comedy,260044825.0,PG,6.0,156084,1,Not-Famous,Low-Studio
100,32500000.0,USA,Comedy,169106725.0,R,6.8,232914,1,Not-Famous,Low-Studio
101,40000000.0,USA,Action,176591618.0,PG,6.2,132267,1,Not-Famous,Low-Studio
102,45000000.0,USA,Comedy,181410615.0,PG,6.8,238648,1,Not-Famous,Low-Studio
103,90000000.0,USA,Action,226164286.0,PG,6.6,172172,1,Not-Famous,Low-Studio
104,7500000.0,USA,Comedy,143495265.0,PG,7.5,441359,1,Not-Famous,Low-Studio
105,200000000.0,USA,Others,334191110.0,PG,6.5,332807,1,Not-Famous,Low-Studio
106,28000000.0,USA,Others,161197785.0,R,7.9,147430,1,Not-Famous,Low-Studio
107,7500000.0,USA,Comedy,140088813.0,PG,5.8,67844,1,Not-Famous,Low-Studio
108,160000000.0,USA,Action,292576195.0,PG,8.8,1635422,1,Not-Famous,Low-Studio
109,6000000.0,non-USA,Drama,138530565.0,R,8.1,318576,1,Not-Famous,Low-Studio
110,185000000.0,USA,Action,317101119.0,PG,6.2,360341,1,Not-Famous,Low-Studio
111,150000000.0,USA,Action,281492479.0,R,7.2,449149,1,Not-Famous,Low-Studio
112,34200000.0,USA,Comedy,163479795.0,PG,6.4,172573,1,Not-Famous,Low-Studio
113,9000000.0,non-USA,Others,138141585.0,PG,7.3,214298,1,Not-Famous,Low-Studio
114,10000000.0,USA,Drama,138433435.0,R,8.3,679117,1,Not-Famous,Low-Studio
115,40000000.0,USA,Drama,166167230.0,R,4.1,251134,1,Not-Famous,Low-Studio
116,45000000.0,USA,Comedy,170687518.0,PG,7.2,185654,1,Not-Famous,Low-Studio
117,28000000.0,USA,Action,153665000.0,R,6.5,91378,1,Not-Famous,Low-Studio
118,120000000.0,USA,Others,244082982.0,PG,7.1,293447,1,Not-Famous,Low-Studio
119,15000000.0,non-USA,Others,138797449.0,R,8.0,547294,1,Not-Famous,Low-Studio
120,180000000.0,USA,Others,303003568.0,PG,7.9,682646,1,Not-Famous,Low-Studio
121,22000000.0,USA,Comedy,144833357.0,PG,6.4,72313,1,Not-Famous,Low-Studio
122,52000000.0,USA,Others,173837933.0,PG,7.6,225750,1,Not-Famous,Low-Studio
123,160000000.0,USA,Action,281723902.0,PG,6.6,213733,1,Not-Famous,Low-Studio
124,30000000.0,USA,Comedy,151101803.0,PG,8.2,309892,1,Not-Famous,Low-Studio
125,108000000.0,non-USA,Others,228433663.0,PG,8.0,582161,1,Not-Famous,Low-Studio
126,25000000.0,non-USA,Action,145000989.0,PG,7.8,512017,1,Not-Famous,Low-Studio
127,130000000.0,non-USA,Others,249358727.0,PG,7.8,429138,1,Not-Famous,Low-Studio
128,28000000.0,USA,Action,147253986.0,R,7.2,138248,1,Not-Famous,Low-Studio
129,90000000.0,USA,Action,209028679.0,PG,7.6,513623,1,Not-Famous,Low-Studio
