,country_USA,genre_Comedy,genre_Drama,square_root_budget,log_trans_gross,log_trans_score,log_trans_votes,ROI
0,0.0,0.0,0.0,19.283570699099407,20.449496695911847,2.0541237336955462,13.773020506343322,1
1,1.0,0.0,0.0,18.82614585206053,20.295970102792015,1.9459101490553132,13.061816877536295,1
2,1.0,0.0,1.0,19.11382792451231,20.305736703235393,2.0541237336955462,13.671121577338967,1
3,1.0,0.0,0.0,19.209138104316636,20.250631406175028,2.0918640616783932,13.882507305186788,1
4,1.0,0.0,0.0,18.560442686327523,19.977866327535498,1.8718021769015913,13.28297258454261,1
5,1.0,0.0,0.0,19.0358663830426,20.09751267919579,2.1972245773362196,14.428452059238198,1
6,1.0,0.0,1.0,17.216707939626428,19.731127354997597,1.9740810260220096,12.15360497762538,1
7,1.0,0.0,0.0,17.958645284355807,19.81309106937624,2.0918640616783932,13.441272277644952,1
8,1.0,0.0,0.0,19.11382792451231,20.092487307558024,2.066862759472976,12.812580198175057,1
9,1.0,0.0,0.0,18.172219384653864,19.82680393790742,1.9740810260220096,13.530137816952841,1
10,1.0,0.0,0.0,17.875953568510692,19.7101081638935,2.0794415416798357,13.416166676861046,1
11,1.0,0.0,0.0,18.683045008419857,19.866818355815454,2.028148247292285,13.195955788107653,1
12,1.0,0.0,0.0,18.146243898250606,19.723759963255045,2.0014800002101243,12.66200270504455,1
13,1.0,0.0,0.0,17.889652412868855,19.673804710137368,1.9878743481543455,12.806001955878674,1
14,1.0,0.0,0.0,18.358805340234277,19.75789845999609,2.0918640616783932,13.559932912214894,1
15,1.0,0.0,0.0,18.82614585206053,19.89423257594497,1.9740810260220096,12.74840565724774,1
16,0.0,0.0,0.0,16.213405830762646,19.505813608670653,2.0412203288596382,12.821266392695644,1
17,1.0,1.0,0.0,17.822843743196746,19.615367108460703,2.174751721484161,14.157145871506627,1
18,1.0,0.0,0.0,17.622173047734595,19.56139420863911,2.1400661634962708,13.495375539273548,1
19,1.0,0.0,0.0,18.542898376676614,19.756372506310083,2.028148247292285,13.257123265119654,1
20,1.0,0.0,0.0,18.749984491094967,19.816198377127765,1.9878743481543455,13.28724371657834,1
21,1.0,0.0,0.0,18.119575651168443,19.632757928888438,1.8562979903656263,12.042835811341659,1
22,1.0,0.0,0.0,18.643824295266576,19.75833937885167,2.0918640616783932,13.323473976094865,1
23,1.0,0.0,1.0,17.50439001207821,19.49740963482206,2.0918640616783932,13.5545911491899,1
24,1.0,0.0,0.0,18.82614585206053,19.8088184276089,2.0149030205422647,13.052475105165744,1
25,1.0,0.0,0.0,17.72753356339242,19.507974667568426,1.5260563034950492,12.360890245773707,1
26,0.0,1.0,0.0,15.424948470398375,19.302124130822406,1.8870696490323797,11.593380395360613,1
27,1.0,0.0,0.0,18.03501826314038,19.521063966923577,1.589235205116581,12.189607841498928,1
28,1.0,0.0,0.0,18.132998671500584,19.539648627916698,1.9459101490553132,13.044991932063915,1
29,1.0,0.0,0.0,17.182806387950748,19.360529689131695,2.0412203288596382,12.403557818051926,1
30,0.0,0.0,0.0,18.34811005111753,19.569811068239257,2.174751721484161,14.12148161272944,1
31,1.0,0.0,0.0,17.37085861945369,19.341715899229534,2.028148247292285,12.57862192287668,1
32,1.0,0.0,0.0,19.11382792451231,19.84380083716198,2.1162555148025524,13.314118629968362,1
33,1.0,0.0,0.0,18.643824295266576,19.635996626630035,1.9021075263969205,12.746249282960866,1
34,0.0,0.0,0.0,19.11382792451231,19.829259928580676,1.9740810260220096,13.318069953808406,1
35,1.0,0.0,0.0,19.33697147582652,19.944573552256827,2.0014800002101243,13.199876118178073,1
36,1.0,0.0,0.0,19.11382792451231,19.81224089145169,1.791759469228055,12.751464899757911,1
37,1.0,1.0,0.0,18.197537192638155,19.44765795930483,1.840549633397487,12.321764607526246,1
38,1.0,0.0,0.0,19.231610960168695,19.863629058915876,1.9878743481543455,13.253630207842345,1
39,0.0,0.0,0.0,19.33697147582652,19.92061423102686,2.128231705849268,14.045914885927075,1
40,1.0,0.0,0.0,18.560442686327523,19.554259784213677,1.8870696490323797,13.14668323760433,1
41,1.0,0.0,1.0,16.90655301132259,19.198312932083134,1.9459101490553132,12.016315513233597,1
42,1.0,1.0,0.0,17.034386382832476,19.205495113038136,1.9315214116032138,12.203449207323459,1
43,1.0,0.0,0.0,17.034386382832476,19.204434422968035,2.0794415416798357,12.75438767691224,1
44,0.0,0.0,0.0,18.643824295266576,19.576226300746658,2.0149030205422647,13.125978833758293,1
45,1.0,0.0,0.0,18.82614585206053,19.648179377026434,2.0794415416798357,12.671437406846172,1
46,1.0,0.0,0.0,17.14771506813948,19.19702052299001,2.0794415416798357,12.571135809773342,1
47,0.0,0.0,0.0,18.980296531887788,19.71266751076109,2.0149030205422647,12.253933806881514,1
